codigoCompra,numFactura,fecha,codigoEnvio,codigoCliente
1,48687E,22/05/2021,70384ZK,5
2,47306P,27/05/2021,58476IM,8
3,89116D,31/05/2021,64506XY,6
4,17625T,24/06/2021,23472UV,4
5,84689M,01/07/2021,92759BA,6
6,46355K,06/07/2021,88757YE,2
7,26044Y,16/07/2021,08268YV,8
8,19714L,31/07/2021,90680BC,10
9,09645P,06/09/2021,39884XL,2
10,46539Y,19/09/2021,21974DE,2
11,18572H,21/09/2021,86061IT,6
12,93303J,26/09/2021,42597YY,3
13,40098O,06/10/2021,33637PE,10
14,73455U,06/10/2021,80931NW,8
15,83415O,07/10/2021,06758TM,2
16,58175G,29/10/2021,63398VA,1
17,00303K,08/12/2021,02813LK,7
18,63996N,23/01/2022,96517NC,3
19,27723O,09/02/2022,38756VV,9
20,37613S,13/02/2022,21649ZV,6
21,92692M,16/02/2022,96858EH,3
22,43073X,01/03/2022,70157GB,8
23,28748H,02/03/2022,39522KZ,3
24,10347G,14/03/2022,11362ZO,4
25,25472K,16/03/2022,05419KX,5
26,14748A,27/03/2022,08981CF,1
27,46893S,13/04/2022,50810ZO,4
28,18336E,17/04/2022,23475EZ,2
29,86206O,06/05/2022,97624QQ,4
30,05743I,13/05/2022,57460CF,10
