codigoEnvio,fechaSolicitud,fechaEnvio,fechaEstimada,estado,codigoAdministrador
70384ZK,22/05/2021,25/05/2021,30/05/2021,Recibido,2
58476IM,27/05/2021,29/05/2021,5/06/2021,Recibido,2
64506XY,31/05/2021,01/06/2021,20/06/2021,Recibido,1
23472UV,24/06/2021,25/06/2021,30/06/2021,Recibido,1
92759BA,01/07/2021,04/07/2021,17/07/2021,Recibido,2
88757YE,06/07/2021,08/07/2021,20/07/2021,Recibido,1
08268YV,16/07/2021,16/07/2021,30/07/2021,Recibido,2
90680BC,31/07/2021,01/08/2021,16/08/2021,Recibido,2
39884XL,06/09/2021,08/09/2021,26/09/2021,Recibido,1
21974DE,19/09/2021,22/09/2021,30/09/2021,Recibido,2
86061IT,21/09/2021,24/09/2021,02/10/2021,Recibido,1
42597YY,26/09/2021,28/09/2021,12/10/2021,Recibido,2
33637PE,06/10/2021,08/10/2021,16/10/2021,Recibido,2
80931NW,06/10/2021,08/10/2021,17/10/2021,Recibido,2
06758TM,07/10/2021,08/10/2021,25/10/2021,Recibido,1
63398VA,29/10/2021,01/11/2021,10/11/2021,Recibido,1
02813LK,08/12/2021,09/12/2021,28/12/2021,Recibido,1
96517NC,23/01/2022,24/01/2022,27/01/2022,Recibido,2
38756VV,09/02/2022,10/02/2022,19/02/2022,Recibido,1
21649ZV,13/02/2022,15/02/2022,23/02/2022,Recibido,2
96858EH,16/02/2022,18/02/2022,01/03/2022,Recibido,2
70157GB,01/03/2022,05/03/2022,20/03/2022,Recibido,2
39522KZ,02/03/2022,04/03/2022,12/03/2022,Recibido,1
50810ZO,14/03/2022,14/03/2022,29/03/2022,Recibido,1
05419KX,16/03/2022,17/03/2022,01/04/2022,Recibido,2
08981CF,27/03/2022,30/03/2022,15/04/2022,Recibido,1
50810ZO,13/04/2022,14/04/2022,21/04/2022,Recibido,1
23475EZ,17/04/2022,18/04/2022,30/04/2022,Recibido,1
97624QQ,06/05/2022,07/05/2022,26/05/2022,En Camino,1
57460CF,13/05/2022,13/05/2022,31/05/2022,En Camino,2
